address,reg_name,bits,field,type,default_value,modify,analysis
0x0004,SYS_CTRL,[7],TX_FRM_MODE,R/W,1'b0,Yes,Yes
,,[6],V_PXL_OUT_NUM,R/W,1'b1,Yes,Yes
,,[5],TRG_I_EN,R/W,1'b0,Yes,Yes
,,[4],SINT_EN,R/W,1'b0,Yes,Yes
,,[3],SCAN_MODE,R/W,1'b0,Yes,Yes
,,[2:1],WORK_MODE,R/W,2'd0,Yes,Yes
,,[0],MST_MODE,R/W,1'b0,Yes,Yes
0x0005,SYSCLK1M_DIVL,[7:0],SYSCLK1M_DIV[7:0],R/W,8'hF9,Yes,Yes
0x0006,SYSCLK1M_DIVH,[7:2],XCLK1M_DIV,R/W,6'h0,Yes,
,,[1],Rev,R/W,1'b0,,
,,[0],SYSCLK1M_DIV[8],R/W,1'h0,Yes,Yes
0x000D,V_ROLL_NUM,[7:5],Rev,R/W,3'b0,,
,,[4:0],V_ROLL_NUM,R/W,5'd0,Yes,Yes
0x000E,H_ROLL_NUM,[7:4],H_VLD_SEG,R/W,4'd0,Yes,Yes
,,[3:0],H_ROLL_NUM,R/W,4'd0,Yes,Yes
0x0015,UPSMP_CFG,[7:2],Rev,R/W,6'b0,,
,,[1:0],UPSMP_MODE,R/W,2'd0,Yes,Yes
0x0016,MINBIN_THRS,[7:0],MINBIN_THRS,R/W,8'd0,Yes,Yes
0x0017,MAXBIN_THRS,[7:0],MAXBIN_THRS,R/W,8'd0,Yes,Yes
0x001B,MIPI_TXDLY,[7:6],MIPI_FENDDLY,R/W,2'd0,Yes,Yes
,,[5:0],MIPI_PKTDLY,R/W,6'd0,Yes,Yes
0x001C,TXU_CFG,[7:1],Rev,R/W,7'b0,,
,,[0],ONE_DT_MODE,R/W,1'b0,Yes,Yes
0x001F,DEPTHU_CFG1,[7:5],Rev,R/W,3'b0,,
,,[4],OUT_BIN_NUM,R/W,1'b0,Yes,Yes
,,[3:0],OUT_RLEN_SEG,R/W,4'd4,,Yes
0x0020,DEPTHU_CFG2,[7:4],Rev,R/W,4'b0,,
,,[3:1],PKS_ECHO_NUM,R/W,3'h2,Yes,Yes
,,[0],MF_KNLEN,R/W,1'b0,,Yes
0x0055,SPAD_CFG1,[7:0],PXL_SPAD_OUT_EN[7:0],R/W,8'h0,,
0x0056,SPAD_CFG2,[7],PXL_SPAD_OUT_EN[8],R/W,1'b0,,
,,[6],SPAD_ARRAY_TST_SEL,R/W,1'b0,,
,,[5],SPAD_ARRAY_TST_MODE,R/W,1'b0,,
,,[4],SPAD_ARRAY_TST_EN,R/W,1'b0,,
,,[3],SPAD_GATE_EN,R/W,1'b0,,
,,[2],SPAD_RCHGEN,R/W,1'b1,,
,,[1:0],SPAD_RCHG_TIME,R/W,2'b0,,
0x005A,TDC_DLY_CFG1,[7:5],Rev,R/W,3'd0,,
,,[4],LASDPW_EN,R/W,1'd0,,
,,[3:1],PHASE_DLY_OPT,R/W,3'd0,Yes,
,,[0],REFTDC_DLY_EN,R/W,1'd0,,
0x006A,PLL0_DIV1,[7],Rev,R/W,1'b0,,
,,[6:4],PLL0_ID,R/W,3'd3,Yes,
,,[3:2],Rev,R/W,2'b0,,
,,[1:0],PLL0_OD,R/W,2'd2,Yes,
0x006B,PLL0_DIV2,[7:0],PLL0_FB,R/W,8'hFA,Yes,
0x006E,PLL1_DIV1,[7],Rev,R/W,1'b0,,
,,[6:4],PLL1_ID,R/W,3'd3,Yes,
,,[3:2],Rev,R/W,2'b0,,
,,[1:0],PLL1_OD,R/W,2'd1,Yes,
0x006F,PLL1_DIV2,[7:0],PLL1_FB,R/W,8'h7D,Yes,
0x0079,TXESC_CLKDIV,[7:5],TXESC_CLKDIV_DTY,R/W,3'h6,Yes,
,,[4:0],TXESC_CLKDIV_CNT,R/W,5'hE,Yes,
0x0074,MIPIPLL_LPDH,[7:1],Rev,R/W,7'b0,,
,,[0],NS[8],R/W,1'b0,Yes,Yes
0x0075,MIPIPLL_LPDL,[7:0],NS[7:0],R/W,8'h54,Yes,Yes
0x0077,MIPIPLL_PPD,[7:5],MS,R/W,3'h2,Yes,Yes
,,[4:0],PS,R/W,5'h1,Yes,Yes
0x0118,VC0_WC_L,[7:0],VC0_WC[7:0],R/W,8'd0,Yes,Yes
0x0119,VC0_WC_H,[7:0],VC0_WC[15:8],R/W,8'd0,Yes,Yes
0x011A,VC1_WC_L,[7:0],VC1_WC[7:0],R/W,8'd0,Yes,Yes
0x011B,VC1_WC_H,[7:0],VC1_WC[15:8],R/W,8'd0,Yes,Yes
0x0128,VC0_FLNR_L,[7:0],VC0_FLNR[7:0],R/W,8'd0,Yes,Yes
0x0129,VC0_FLNR_H,[7:5],Rev,R/W,3'b0,,
,,[4:0],VC0_FLNR[12:8],R/W,5'd0,Yes,Yes
0x012A,VC1_FLNR_L,[7:0],VC1_FLNR[7:0],R/W,8'd0,Yes,Yes
0x012B,VC1_FLNR_H,[7:5],Rev,R/W,3'b0,,
,,[4:0],VC1_FLNR[12:8],R/W,5'd0,Yes,Yes
0x0150,VC0_THRESHOLD,[7:0],VC0_THRESHOLD,R/W,8'd0,Yes,Yes
0x0151,VC1_THRESHOLD,[7:0],VC1_THRESHOLD,R/W,8'd0,Yes,Yes
0x022B,THS_EXIT,[7:0],DataTxThsexitCnt,R/W,8'h2,Yes,Yes
0x022C,THS_PREPARE,[7:0],DataTxThsprepareCnt,R/W,8'h0,Yes,Yes
0x022D,THS_ZERO,[7:0],DataTxThszeroCnt,R/W,8'h32,Yes,Yes
0x022E,THS_TRAIL,[7:0],DataTxThstrailCnt,R/W,8'h11,Yes,Yes
